iter	Passed	Remaining
0	189	189671
1	232	115871
2	277	92343
3	325	81029
4	369	73537
5	413	68569
6	460	65307
7	503	62372
8	546	60207
9	591	58599
10	633	56927
11	674	55543
12	716	54371
13	758	53386
14	797	52366
15	835	51379
16	879	50845
17	918	50132
18	956	49405
19	999	48951
20	1036	48331
21	1076	47849
22	1119	47553
23	1163	47311
24	1204	46965
25	1245	46657
26	1288	46426
27	1336	46379
28	1379	46194
29	1423	46031
30	1464	45771
31	1510	45678
32	1561	45767
33	1607	45662
34	1649	45489
35	1687	45199
36	1728	44984
37	1774	44911
38	1814	44712
39	1862	44706
40	1907	44609
41	1947	44423
42	1987	44234
43	2025	44018
44	2070	43940
45	2113	43835
46	2158	43759
47	2201	43672
48	2238	43436
49	2276	43246
50	2316	43096
51	2356	42966
52	2390	42717
53	2432	42610
54	2475	42541
55	2516	42428
56	2558	42322
57	2597	42183
58	2637	42064
59	2679	41976
60	2719	41863
61	2760	41770
62	2795	41580
63	2835	41462
64	2873	41332
65	2912	41213
66	2955	41156
67	2995	41051
68	3036	40969
69	3076	40879
70	3116	40777
71	3156	40686
72	3194	40559
73	3238	40519
74	3282	40486
75	3326	40448
76	3367	40363
77	3404	40244
78	3446	40185
79	3487	40106
80	3527	40023
81	3567	39940
82	3610	39891
83	3648	39789
84	3690	39730
85	3734	39693
86	3773	39595
87	3815	39542
88	3855	39469
89	3897	39407
90	3939	39355
91	3982	39306
92	4024	39248
93	4060	39136
94	4104	39100
95	4144	39026
96	4190	39009
97	4240	39031
98	4286	39013
99	4333	39001
100	4385	39034
101	4431	39018
102	4475	38974
103	4523	38973
104	4569	38950
105	4615	38925
106	4660	38894
107	4706	38869
108	4762	38928
109	4808	38907
110	4847	38822
111	4894	38809
112	4936	38749
113	4976	38679
114	5018	38623
115	5067	38617
116	5116	38614
117	5144	38450
118	5188	38414
119	5232	38372
120	5277	38337
121	5313	38242
122	5350	38150
123	5394	38108
124	5436	38053
125	5475	37977
126	5512	37893
127	5558	37870
128	5605	37846
129	5643	37768
130	5688	37738
131	5729	37676
132	5765	37582
133	5804	37512
134	5841	37429
135	5880	37361
136	5924	37322
137	5961	37235
138	5999	37164
139	6044	37129
140	6087	37085
141	6123	36999
142	6166	36954
143	6206	36895
144	6247	36837
145	6282	36749
146	6321	36683
147	6354	36583
148	6399	36552
149	6445	36524
150	6489	36487
151	6534	36454
152	6573	36389
153	6627	36408
154	6684	36442
155	6752	36533
156	6795	36489
157	6833	36415
158	6869	36337
159	6910	36282
160	6957	36258
161	7004	36234
162	7049	36196
163	7092	36152
164	7133	36099
165	7175	36047
166	7219	36009
167	7261	35962
168	7300	35896
169	7343	35855
170	7385	35805
171	7421	35726
172	7460	35664
173	7504	35625
174	7543	35560
175	7585	35512
176	7623	35448
177	7663	35387
178	7700	35318
179	7736	35245
180	7774	35176
181	7817	35134
182	7854	35064
183	7893	35004
184	7932	34945
185	7969	34875
186	8013	34838
187	8053	34784
188	8097	34746
189	8133	34674
190	8165	34586
191	8203	34524
192	8242	34464
193	8278	34393
194	8324	34365
195	8366	34320
196	8412	34289
197	8448	34219
198	8495	34197
199	8535	34141
200	8580	34107
201	8621	34060
202	8659	33998
203	8698	33943
204	8740	33897
205	8781	33848
206	8829	33823
207	8872	33782
208	8914	33738
209	8953	33683
210	8988	33610
211	9021	33531
212	9061	33479
213	9108	33454
214	9150	33409
215	9201	33396
216	9243	33351
217	9284	33305
218	9320	33238
219	9364	33199
220	9404	33150
221	9441	33088
222	9481	33036
223	9521	32983
224	9563	32940
225	9604	32894
226	9640	32827
227	9684	32791
228	9726	32745
229	9773	32718
230	9817	32683
231	9862	32648
232	9905	32607
233	9949	32569
234	9993	32532
235	10052	32542
236	10106	32536
237	10156	32516
238	10206	32497
239	10265	32508
240	10339	32563
241	10395	32562
242	10445	32540
243	10492	32509
244	10541	32485
245	10591	32464
246	10639	32434
247	10691	32417
248	10753	32432
249	10799	32399
250	10851	32380
251	10918	32409
252	10970	32390
253	11016	32355
254	11061	32318
255	11113	32297
256	11167	32286
257	11215	32254
258	11265	32229
259	11309	32189
260	11354	32149
261	11395	32099
262	11451	32089
263	11510	32089
264	11569	32087
265	11623	32074
266	11676	32056
267	11757	32113
268	11822	32127
269	11880	32122
270	11934	32103
271	11980	32064
272	12024	32021
273	12068	31976
274	12113	31935
275	12160	31899
276	12205	31857
277	12244	31800
278	12286	31751
279	12332	31711
280	12378	31672
281	12428	31643
282	12473	31602
283	12516	31555
284	12558	31507
285	12600	31456
286	12642	31408
287	12686	31364
288	12727	31312
289	12780	31290
290	12834	31270
291	12879	31227
292	12939	31221
293	12988	31189
294	13039	31162
295	13095	31146
296	13154	31137
297	13207	31112
298	13252	31070
299	13311	31061
300	13366	31039
301	13428	31036
302	13479	31006
303	13538	30995
304	13587	30962
305	13644	30945
306	13715	30961
307	13782	30966
308	13844	30958
309	13891	30919
310	13938	30879
311	14001	30876
312	14054	30849
313	14128	30865
314	14202	30885
315	14263	30873
316	14313	30838
317	14378	30837
318	14443	30834
319	14502	30817
320	14564	30808
321	14610	30763
322	14662	30731
323	14703	30678
324	14763	30663
325	14826	30652
326	14896	30659
327	14981	30693
328	15044	30683
329	15115	30689
330	15177	30675
331	15240	30664
332	15308	30663
333	15368	30645
334	15440	30651
335	15504	30639
336	15576	30644
337	15646	30645
338	15708	30628
339	15769	30611
340	15829	30591
341	15881	30556
342	15933	30520
343	15992	30497
344	16053	30479
345	16109	30449
346	16162	30416
347	16226	30401
348	16287	30382
349	16348	30361
350	16401	30327
351	16470	30319
352	16534	30304
353	16595	30285
354	16653	30258
355	16717	30242
356	16777	30217
357	16832	30185
358	16892	30161
359	16943	30121
360	17002	30095
361	17077	30098
362	17134	30067
